Wed  4 Jan 18:12:24 GMT 2023
Gen, Ind, Patch, Valid, Fitness, Time
-1, |, true, 1.495, 241622.0, 1105303, 2023-01-04T18:14:06.748710Z[UTC]
0, | gin.edit.statement.SwapStatement GBN/app/src/main/java/nodomain/freeyourgadget/gadgetbridge/activities/appmanager/AbstractAppManagerFragment.java:1079 <-> GBN/app/src/main/java/nodomain/freeyourgadget/gadgetbridge/activities/appmanager/AbstractAppManagerFragment.java:1163 |, true, 1.28, 171444.0, 1106315, 2023-01-04T18:15:57.454767Z[UTC]
1, | gin.edit.statement.SwapStatement GBN/app/src/main/java/nodomain/freeyourgadget/gadgetbridge/activities/appmanager/AbstractAppManagerFragment.java:1079 <-> GBN/app/src/main/java/nodomain/freeyourgadget/gadgetbridge/activities/appmanager/AbstractAppManagerFragment.java:1163 | gin.edit.statement.SwapStatement GBN/app/src/main/java/nodomain/freeyourgadget/gadgetbridge/activities/appmanager/AbstractAppManagerFragment.java:1050 <-> GBN/app/src/main/java/nodomain/freeyourgadget/gadgetbridge/activities/appmanager/AbstractAppManagerFragment.java:1323 |, true, 1.31, 173066.0, 1095080.0, 2023-01-04T18:17:26.592994Z[UTC]
2, | gin.edit.statement.SwapStatement GBN/app/src/main/java/nodomain/freeyourgadget/gadgetbridge/activities/appmanager/AbstractAppManagerFragment.java:1079 <-> GBN/app/src/main/java/nodomain/freeyourgadget/gadgetbridge/activities/appmanager/AbstractAppManagerFragment.java:1163 | gin.edit.statement.CacheEdit GBN/app/src/main/java/nodomain/freeyourgadget/gadgetbridge/activities/appmanager/AbstractAppManagerFragment.java getCachedApps UUID.fromString(baseName) 1 2 3 4 7 |, true, 1.29, 171416.0, 1088983.0, 2023-01-04T18:18:56.237405Z[UTC]
3, | gin.edit.statement.SwapStatement GBN/app/src/main/java/nodomain/freeyourgadget/gadgetbridge/activities/appmanager/AbstractAppManagerFragment.java:1079 <-> GBN/app/src/main/java/nodomain/freeyourgadget/gadgetbridge/activities/appmanager/AbstractAppManagerFragment.java:1163 | gin.edit.statement.DeleteStatement GBN/app/src/main/java/nodomain/freeyourgadget/gadgetbridge/activities/appmanager/AbstractAppManagerFragment.java:1106 |, true, 1.24, 171152.0, 1067702.0, 2023-01-04T18:20:28.802228Z[UTC]
4, | gin.edit.statement.SwapStatement GBN/app/src/main/java/nodomain/freeyourgadget/gadgetbridge/activities/appmanager/AbstractAppManagerFragment.java:1079 <-> GBN/app/src/main/java/nodomain/freeyourgadget/gadgetbridge/activities/appmanager/AbstractAppManagerFragment.java:1163 | gin.edit.statement.DeleteStatement GBN/app/src/main/java/nodomain/freeyourgadget/gadgetbridge/activities/appmanager/AbstractAppManagerFragment.java:1106 | gin.edit.statement.ClassCacheEdit GBN/app/src/main/java/nodomain/freeyourgadget/gadgetbridge/activities/appmanager/AbstractAppManagerFragment.java cachePath.listFiles() 0 |, true, 1.27, 171544.0, 1069624.0, 2023-01-04T18:21:57.677354Z[UTC]
5, | gin.edit.statement.SwapStatement GBN/app/src/main/java/nodomain/freeyourgadget/gadgetbridge/activities/appmanager/AbstractAppManagerFragment.java:1079 <-> GBN/app/src/main/java/nodomain/freeyourgadget/gadgetbridge/activities/appmanager/AbstractAppManagerFragment.java:1163 | gin.edit.statement.DeleteStatement GBN/app/src/main/java/nodomain/freeyourgadget/gadgetbridge/activities/appmanager/AbstractAppManagerFragment.java:1106 | gin.edit.statement.ReplaceStatement GBN/app/src/main/java/nodomain/freeyourgadget/gadgetbridge/activities/appmanager/AbstractAppManagerFragment.java:2315 -> GBN/app/src/main/java/nodomain/freeyourgadget/gadgetbridge/activities/appmanager/AbstractAppManagerFragment.java:1479 |, true, 1.31, 171151.0, 1094133, 2023-01-04T18:23:47.585318Z[UTC]
6, | gin.edit.statement.SwapStatement GBN/app/src/main/java/nodomain/freeyourgadget/gadgetbridge/activities/appmanager/AbstractAppManagerFragment.java:1079 <-> GBN/app/src/main/java/nodomain/freeyourgadget/gadgetbridge/activities/appmanager/AbstractAppManagerFragment.java:1163 | gin.edit.statement.DeleteStatement GBN/app/src/main/java/nodomain/freeyourgadget/gadgetbridge/activities/appmanager/AbstractAppManagerFragment.java:1106 | gin.edit.statement.CacheEdit GBN/app/src/main/java/nodomain/freeyourgadget/gadgetbridge/activities/appmanager/AbstractAppManagerFragment.java getCachedApps file.getName() 0 1 |, true, 1.24, 171939.0, 1098711.0, 2023-01-04T18:25:18.605049Z[UTC]
7, | gin.edit.statement.SwapStatement GBN/app/src/main/java/nodomain/freeyourgadget/gadgetbridge/activities/appmanager/AbstractAppManagerFragment.java:1079 <-> GBN/app/src/main/java/nodomain/freeyourgadget/gadgetbridge/activities/appmanager/AbstractAppManagerFragment.java:1163 | gin.edit.statement.DeleteStatement GBN/app/src/main/java/nodomain/freeyourgadget/gadgetbridge/activities/appmanager/AbstractAppManagerFragment.java:1106 | gin.edit.statement.CopyStatement GBN/app/src/main/java/nodomain/freeyourgadget/gadgetbridge/activities/appmanager/AbstractAppManagerFragment.java:886 -> GBN/app/src/main/java/nodomain/freeyourgadget/gadgetbridge/activities/appmanager/AbstractAppManagerFragment.java:412:482 |, true, 1.32, 170694.0, 1073790.0, 2023-01-04T18:26:49.515491Z[UTC]
8, | gin.edit.statement.SwapStatement GBN/app/src/main/java/nodomain/freeyourgadget/gadgetbridge/activities/appmanager/AbstractAppManagerFragment.java:1079 <-> GBN/app/src/main/java/nodomain/freeyourgadget/gadgetbridge/activities/appmanager/AbstractAppManagerFragment.java:1163 | gin.edit.statement.DeleteStatement GBN/app/src/main/java/nodomain/freeyourgadget/gadgetbridge/activities/appmanager/AbstractAppManagerFragment.java:1106 | gin.edit.statement.CacheEdit GBN/app/src/main/java/nodomain/freeyourgadget/gadgetbridge/activities/appmanager/AbstractAppManagerFragment.java getCachedApps file.getName() 0 1 |, true, 1.28, 170917.0, 1098711.0, 2023-01-04T18:28:17.554237Z[UTC]
